Display_name,File_name
Andaman and Nicobar,andamannicobarislands
Andhra Pradesh,andhrapradesh
Arunachal Pradesh,arunachalpradesh
Assam,assam
Bihar,bihar
Chandigarh,chandigarh
Chhattisgarh,chhattisgarh
Dadra and Nagar Haveli,dadranagarhaveli
Delhi,delhi
Goa,goa
Gujarat,gujarat
Haryana,haryana
Himachal Pradesh,himachalpradesh
Jammu and Kashmir,jammukashmir
Jharkhand,jharkhand
Karnataka,karnataka
Kerala,kerala
Ladakh,ladakh
Lakshadweep,lakshadweep
Madhya Pradesh,madhyapradesh
Maharashtra,maharashtra
Manipur,manipur
Meghalaya,meghalaya
Mizoram,mizoram
Nagaland,nagaland
Odisha,odisha
Puducherry,puducherry
Punjab,punjab
Rajasthan,rajasthan
Sikkim,sikkim
Tamil Nadu,tamilnadu
Telangana,telangana
Tripura,tripura
Uttarakhand,uttarakhand
Uttar Pradesh,uttarpradesh
West Bengal,westbengal
