Year,Constituency,PARTY,name,Winner votes,Total Votes
2006,Lawspet,INC,M.O.H.F. SHAHJAHAN,17944,41668
2006,Reddiarpalayam,CPI,R.VISWANATHAN,17314,34330
2001,Lawspet,INC,SHAJAHAN .M.O.H.F.,12929,33573
1996,Lawspet,DMK,N. KESAVAN,16442,30227
2006,Thattanchavady,INC,N. RANGASAMY,27024,29949
2011,Yanam,INC,MALLADI KRISHNA RAO,23985,29631
2006,Ozhukarai,INC,A. NAMASSIVAYAM,14072,29233
2006,Mudaliarpet,DMK,DR. M.A.S. SUBRAMANIAN,10783,28942
2011,Ariankuppam,AINRC,V.SABAPATHY @,13381,27239
2011,Mangalam,INC,C. DJEACOUMAR,14052,26718
1996,Reddiarpalayam,CPI,R. VISWANATHAN,17206,26235
2006,Ariankuppam,PMK,R.K.R. ANANTHARAMAN,13314,25867
2001,Reddiarpalayam,BJP,A.M. KRISHNAMURTHY,11446,25522
2011,Mudaliarpet,ADMK,A. BASKAR,17016,25340
2011,Villianur,INC,A. NAMASSIVAYAM,13105,25188
2011,Mannadipet,AINRC,T.P.R. SELVAM,12412,25045
2011,Embalam,AINRC,P. RAJAVELU,12933,24893
2011,Indira Nagar,AINRC,N. RANGASAMY,20685,24693
2011,Nettapakkam,ADMK,L. PERIYASAMY,14686,24560
2001,Thattanchavady,INC,N. RANGASAMY,14323,24319
2006,Villianur,IND,J. NARAYANASAMY,11950,24202
2011,Manavely,ADMK,P.PURUSHOTHAMAN,13979,24110
2011,Ozhukarai,AINRC,N.G. PANNIR SELVAM,9071,24017
1990,Lawspet,INC,M. O. H. FAROOK,12637,23842
2011,Kadirgamam,AINRC,N. RANGASAMY,16323,23313
2011,Thirubuvanai,AINRC,P. ANGALANE,13733,23269
1996,Thattanchavady,INC,N. RANGASAMY,9989,23255
2011,Tirunallar,AINRC,P.R. SIVA,11702,23050
2011,Bahour,AINRC,T. THIAGARAJAN,12284,22994
1996,Mudaliarpet,CPI,M. MANJINI,11380,22902
2011,Nellithope,ADMK,OMSAKTHI SEKAR,13301,22734
2011,Ossudu,AINRC,P. KARTHIKEYAN,13327,22672
2011,Nedungadu,AINRC,M.CHANDHRAKASU,12474,22658
2011,Kalapet,AINRC,P.M.L. KALYANA SUNDARAM,14132,22637
2011,Neravy T.R. Pattinam,IND,V.M.C. SIVAKKUMAR,8860,22542
2011,Oupalam,ADMK,A. ANBALAGAN,9536,22388
2001,Ozhukarai,TMC(M),A. NAMASSIVAYAM,10164,22343
2001,Mudaliarpet,DMK,DR. SUBRAMANIAN .M.A.S.,9119,22254
2011,Mahe,INC,E.VALSARAJ,13297,21974
