,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage,votes_percentage
party,ADMK,AINRC,BJP,CPI,CPI(M),CPM,DMDK,DMK,INC,IND,JNP,MDMK,Others,PMK,TMC(M)
YEAR,,,,,,,,,,,,,,,
1964,,,,,,,,,52.745896581513016,29.326586860833437,,,17.927516557653544,,
1969,,,,12.621905271549794,,,,33.70045977262551,42.62015791715356,11.057477038671138,,,,,
1974,27.831833700994974,,,8.45225127918791,,1.2526430447875954,,21.887156861847707,15.945226043258979,5.707146060833509,,,18.92374300908933,,
1977,30.958626128720677,,,5.522423769816303,,,,13.48749213550851,17.43170076828328,6.146266249590161,26.453490948081065,,,,
1980,18.596963212065624,,,5.534698868847447,,2.0152858453072455,,27.730561500050953,23.919290736777743,10.598593702231733,9.3312952206257,,2.2733109140935492,,
1985,15.749824342776842,,0.052365738224337474,4.737110736964908,,1.78739510280919,,29.084196152775384,32.67920351049303,6.387625777200355,8.605878219830043,,0.9164004189259058,,
1990,18.168079186807276,,0.5126484217140164,5.074838577626728,,3.1039743342591466,,24.068058004955127,25.039091227143235,7.986510254158426,0.26822412779558796,,9.39546041968627,6.383115445854188,
1991,17.34125634066544,,0.7789138181101939,4.988885449787557,,2.688211925950748,,24.71216000859491,30.002634749532525,9.14206927600664,,,7.4292262789406776,2.9166421524113075,
1996,12.530714132085432,,1.133408502844927,6.5097666051840894,,1.3026485303925976,,22.896720132611183,25.335601453856565,10.238261281401194,,3.184276102395648,5.130645045655702,2.5079677509760088,9.22999046259665
2001,12.560285219038917,,4.6454988084433895,1.85178586774036,,1.238925440205237,,17.538833008109293,22.783149272595036,10.773683890615732,,1.029119254171496,12.450456606170105,7.710639332476782,7.417623300433656
2006,16.044713412077716,,3.0702879412123707,3.062858113283648,1.9204336189099735,,2.7251547438566823,12.590551027881315,29.908772327075177,13.916067710498522,,2.472540594280094,10.48401790942332,3.8046026015011787,
2011,13.749820891245164,31.7455222811291,1.3158045565267231,0.9372402923054879,,1.123370110330993,0.8548502650809573,10.682332712422983,26.529445479295028,10.115346038114344,,,0.4613841524573721,2.484883221091847,
